% x                      y                        z                        (V)[1/(V)]               
-0.0010                  0.00245                  0.286                    -10.162699232411818      
-0.0010                  0.00245                  0.284                    -10.162140730322367      
-0.00101                 0.00245                  0.282                    -10.160653188644522      
-0.00102                 0.00246                  0.28                     -10.158958052064499      
-0.00104                 0.00246                  0.278                    -10.157454187910801      
-0.00106                 0.00246                  0.276                    -10.156377304145241      
-0.00109                 0.00247                  0.274                    -10.155262059314772      
-0.00112                 0.00247                  0.272                    -10.154499455245107      
-0.00115                 0.00248                  0.27                     -10.153205948805276      
-0.00122                 0.00249                  0.268                    -10.15205404733542       
-0.0013                  0.0025                   0.266                    -10.150006328961725      
-0.00136                 0.0025                   0.264                    -10.146796059364723      
-0.00141                 0.0025                   0.26201                  -10.1435025020613        
-0.00145                 0.0025                   0.26001                  -10.139338583989908      
