% x                      y                        z                        (V)[1/(V)]               
-0.0010                  0.00245                  0.286                    0.1130014663096883       
-0.0010                  0.00245                  0.284                    0.12608777127671283      
-0.00101                 0.00245                  0.282                    0.14140287276165267      
-0.00102                 0.00246                  0.28                     0.15976885250491304      
-0.00104                 0.00246                  0.278                    0.17941755796925246      
-0.00106                 0.00246                  0.276                    0.19680057963271708      
-0.00109                 0.00247                  0.274                    0.20166256001546196      
-0.00112                 0.00247                  0.272                    0.1882950659612475       
-0.00115                 0.00248                  0.27                     0.15807651089918623      
-0.00122                 0.00249                  0.268                    0.1236174343195902       
-0.0013                  0.0025                   0.266                    0.08957772971484897      
-0.00136                 0.0025                   0.264                    0.05830902273607053      
-0.00141                 0.0025                   0.26201                  0.029245248571465366     
-0.00145                 0.0025                   0.26001                  7.426212235582058E-4     
