% x                      y                        z                        (V)[1/(V)]               
-0.0013                  0.0025                   0.266                    -10.150006328961725      
-0.00138                 0.00254                  0.26588                  -10.150222593418334      
-0.00151                 0.00265                  0.26579                  -10.151732605258704      
-0.00169                 0.00279                  0.2657                   -10.153984576266188      
-0.00186                 0.00292                  0.26561                  -10.156529597435659      
-0.0020                  0.0030                   0.2655                   -10.158065844861595      
-0.00228                 0.0031                   0.26518                  -10.160315525788542      
-0.00257                 0.00318                  0.26479                  -10.161598208305726      
-0.00282                 0.00324                  0.26437                  -10.160122980326461      
-0.00302                 0.00329                  0.26393                  -10.15873594976467       
-0.00315                 0.0033                   0.2635                   -10.157558544104923      
-0.00399                 0.00319                  0.25795                  -10.141346503921309      
-0.00454                 0.00289                  0.25209                  -10.113221537949924      
-0.0049                  0.00247                  0.24605                  -10.084196071112178      
-0.00519                 0.00199                  0.23998                  -10.053998982533358      
-0.0055                  0.0015                   0.234                    -10.023367241296288      
-0.00585                 8.5E-4                   0.228                    -9.991701439482034       
-0.00618                 0.0                      0.222                    -9.953544195171347       
-0.00648                 -8.8E-4                  0.21601                  -9.911188539402971       
-0.00675                 -0.00161                 0.21001                  -9.864225605218447       
-0.0070                  -0.0020                  0.204                    -9.826998286767541       
-0.00722                 -0.00215                 0.19801                  -9.80170556424064        
-0.00742                 -0.00227                 0.19202                  -9.769904552548834       
-0.00761                 -0.00237                 0.18601                  -9.73271381997999        
-0.0078                  -0.00243                 0.18                     -9.690932166044442       
-0.0080                  -0.00247                 0.174                    -9.657588887225481       
-0.00808                 -0.00248                 0.17115                  -9.64614756219492        
-0.00815                 -0.00248                 0.16826                  -9.634661549760043       
-0.00823                 -0.00249                 0.16539                  -9.621092770070275       
-0.00834                 -0.00249                 0.16261                  -9.60670962222512        
-0.0085                  -0.0025                  0.16                     -9.592252057465323       
-0.00896                 -0.00256                 0.15824                  -9.578965009611426       
-0.00994                 -0.00271                 0.15651                  -9.554812579466123       
-0.01124                 -0.00293                 0.15486                  -9.529942039752848       
-0.01266                 -0.0032                  0.15333                  -9.510963001521045       
-0.014                   -0.0035                  0.152                    -9.4907021651908         
-0.01586                 -0.00417                 0.15027                  -9.463158069089435       
-0.01784                 -0.00521                 0.14867                  -9.438082459233213       
-0.01994                 -0.00657                 0.14722                  -9.416047523629919       
-0.02216                 -0.00818                 0.14599                  -9.395288772627183       
-0.0245                  -0.01                    0.145                    -9.3745249859381         
