% x                      y                        z                        (V)[1/(V)]               
-0.0013                  0.0025                   0.266                    -10.157858716833658      
-0.00138                 0.00254                  0.26588                  -10.157979537353551      
-0.00151                 0.00265                  0.26579                  -10.159625940987608      
-0.00169                 0.00279                  0.2657                   -10.161966554428053      
-0.00186                 0.00292                  0.26561                  -10.16422209104072       
-0.0020                  0.0030                   0.2655                   -10.165610384621054      
-0.00228                 0.0031                   0.26518                  -10.16745901140365       
-0.00257                 0.00318                  0.26479                  -10.168578169638407      
-0.00282                 0.00324                  0.26437                  -10.167379784953019      
-0.00302                 0.00329                  0.26393                  -10.166397785229291      
-0.00315                 0.0033                   0.2635                   -10.165530997041134      
-0.00399                 0.00319                  0.25795                  -10.152064132220374      
-0.00454                 0.00289                  0.25209                  -10.126348765073452      
-0.0049                  0.00247                  0.24605                  -10.097724810528655      
-0.00519                 0.00199                  0.23998                  -10.066077113790454      
-0.0055                  0.0015                   0.234                    -10.031866963314076      
-0.00585                 8.5E-4                   0.228                    -9.994100712243554       
-0.00618                 0.0                      0.222                    -9.949638655938218       
-0.00648                 -8.8E-4                  0.21601                  -9.901262417613149       
-0.00675                 -0.00161                 0.21001                  -9.848899070496639       
-0.0070                  -0.0020                  0.204                    -9.804181241548601       
-0.00722                 -0.00215                 0.19801                  -9.770484915442369       
-0.00742                 -0.00227                 0.19202                  -9.73237285956012        
-0.00761                 -0.00237                 0.18601                  -9.690670832434655       
-0.0078                  -0.00243                 0.18                     -9.646367888823328       
-0.0080                  -0.00247                 0.174                    -9.608700904374347       
-0.00808                 -0.00248                 0.17115                  -9.594284799695123       
-0.00815                 -0.00248                 0.16826                  -9.579205411336755       
-0.00823                 -0.00249                 0.16539                  -9.56317887050053        
-0.00834                 -0.00249                 0.16261                  -9.546746587050052       
-0.0085                  -0.0025                  0.16                     -9.530870453309664       
-0.00896                 -0.00256                 0.15824                  -9.516428563190953       
-0.00994                 -0.00271                 0.15651                  -9.490062150520226       
-0.01124                 -0.00293                 0.15486                  -9.462848892891067       
-0.01266                 -0.0032                  0.15333                  -9.445292360568972       
-0.014                   -0.0035                  0.152                    -9.42696414024869        
-0.01586                 -0.00417                 0.15027                  -9.400819874280293       
-0.01784                 -0.00521                 0.14867                  -9.378798433023862       
-0.01994                 -0.00657                 0.14722                  -9.359193558886165       
-0.02216                 -0.00818                 0.14599                  -9.340824601420637       
-0.0245                  -0.01                    0.145                    -9.32277927350738        
