% x                      y                        z                        (V)[1/(V)]               
-0.00136                 0.0025                   0.264                    -10.146796059364723      
-0.00138                 0.0022                   0.264                    -10.142615822203833      
-0.00139                 0.0019                   0.264                    -10.13935435299614       
-0.0014                  0.0016                   0.264                    -10.136294841201376      
-0.0014                  0.0013                   0.264                    -10.13330391339599       
-0.0014                  0.0010                   0.264                    -10.130394252317133      
-0.0014                  8.0E-4                   0.264                    -10.12849962644596       
-0.00139                 6.0E-4                   0.264                    -10.126764693778998      
-0.00137                 4.0E-4                   0.264                    -10.12514434066847       
-0.00135                 2.0E-4                   0.264                    -10.123556985249165      
-0.00133                 0.0                      0.264                    -10.121980853487585      
