% x                      y                        z                        (V)[1/(V)]               
-0.00136                 0.0025                   0.264                    -10.146796059364723      
-0.00138                 0.00234                  0.26401                  -10.14443336152112       
-0.00139                 0.00218                  0.26402                  -10.142347691301884      
-0.0014                  0.00202                  0.26403                  -10.14066674234932       
-0.0014                  0.00186                  0.26404                  -10.139015712549089      
-0.0014                  0.0017                   0.26405                  -10.137387248286645      
-0.00139                 0.00156                  0.26406                  -10.135969961142983      
-0.00138                 0.00142                  0.26407                  -10.134569555786955      
-0.00136                 0.00128                  0.26408                  -10.133172366989319      
-0.00133                 0.00114                  0.26409                  -10.131776685768562      
-0.0013                  0.0010                   0.2641                   -10.130395607693455      
