% x                      y                        z                        (V)[1/(V)]               
-0.00118                 0.00248                  0.269                    -10.152784638867578      
-0.00123                 0.00229                  0.26901                  -10.14960154860936       
-0.00127                 0.00209                  0.26901                  -10.147054200291285      
-0.00129                 0.00189                  0.26902                  -10.14468992025552       
-0.0013                  0.0017                   0.26904                  -10.142780645154005      
-0.0013                  0.0015                   0.26905                  -10.140913036204386      
-0.00129                 0.0014                   0.26906                  -10.14002201866457       
-0.00128                 0.0013                   0.26907                  -10.13915662570757       
-0.00126                 0.0012                   0.26908                  -10.138296994946181      
-0.00123                 0.0011                   0.26909                  -10.137420441892177      
-0.0012                  0.0010                   0.2691                   -10.136543465198255      
