% x                      y                        z                        (V)[1/(V)]               
-0.00136                 0.0025                   0.264                    -10.146796059364723      
-0.00137                 0.00204                  0.26401                  -10.140805793373014      
-0.0014                  0.00159                  0.26402                  -10.1362244207462        
-0.00145                 0.00118                  0.26403                  -10.1322327753755        
-0.00152                 7.8E-4                   0.26404                  -10.128497352639322      
-0.0016                  4.0E-4                   0.26405                  -10.125179791812757      
-0.00167                 2.1E-4                   0.26406                  -10.123466827529906      
-0.00179                 2.0E-5                   0.26407                  -10.121768128315788      
-0.00195                 -1.6E-4                  0.26408                  -10.120175053985625      
-0.00212                 -3.3E-4                  0.26409                  -10.118691015126574      
-0.0023                  -5.0E-4                  0.2641                   -10.117272453316422      
