% x                      y                        z                        (V)[1/(V)]               
-0.00109                 0.00247                  0.274                    -10.155262059314772      
-0.00112                 0.00202                  0.274                    -10.150608913241511      
-0.00119                 0.0016                   0.27401                  -10.146738782777854      
-0.0013                  0.0012                   0.27402                  -10.14400780607661       
-0.00144                 8.4E-4                   0.27404                  -10.141731118698901      
-0.0016                  5.0E-4                   0.27405                  -10.139721854823332      
-0.0017                  3.5E-4                   0.27406                  -10.138795683354985      
-0.00182                 2.0E-4                   0.27407                  -10.137914442049627      
-0.00197                 6.0E-5                   0.27408                  -10.137103644637785      
-0.00213                 -7.0E-5                  0.27409                  -10.136194374658887      
-0.0023                  -2.0E-4                  0.2741                   -10.135278638575503      
