% x                      y                        z                        (V)[1/(V)]               
-9.0E-4                  0.00128                  0.286                    -10.13407541254727       
-9.0E-4                  0.00128                  0.284                    -10.137598052313786      
-9.0E-4                  0.00128                  0.282                    -10.140350287185884      
-9.1E-4                  0.00128                  0.28                     -10.142488384827315      
-9.1E-4                  0.00128                  0.278                    -10.144123267204856      
-9.2E-4                  0.00128                  0.276                    -10.14531740803357       
-9.3E-4                  0.00129                  0.274                    -10.146124997424419      
-9.4E-4                  0.00129                  0.272                    -10.14646646289115       
-9.5E-4                  0.00129                  0.27                     -10.146340504726306      
-9.8E-4                  0.0013                   0.268                    -10.146009972555042      
-0.0010                  0.0013                   0.266                    -10.14509583644153       
-0.0010                  0.0013                   0.264                    -10.143730872781791      
-0.0010                  0.0013                   0.262                    -10.141762963118158      
-0.0010                  0.0013                   0.26                     -10.138938561611862      
