% x                      y                        z                        (V)[1/(V)]               
-0.0010                  0.0013                   0.264                    -10.13298905274962       
-0.00101                 0.00123                  0.26401                  -10.132195012798247      
-0.00103                 0.00117                  0.26402                  -10.131510074959655      
-0.00105                 0.00111                  0.26403                  -10.130885848835767      
-0.00107                 0.00105                  0.26404                  -10.130364801544566      
-0.0011                  0.0010                   0.26405                  -10.129962459558312      
-0.00113                 9.6E-4                   0.26406                  -10.129655266094549      
-0.00116                 9.1E-4                   0.26407                  -10.129258604134211      
-0.00121                 8.7E-4                   0.26408                  -10.128996535230957      
-0.00125                 8.3E-4                   0.26409                  -10.128717271934207      
-0.0013                  8.0E-4                   0.2641                   -10.12853339552761       
