% x                      y                        z                        (V)[1/(V)]               
-9.6E-4                  0.00129                  0.269                    -10.139044834677948      
-0.00101                 0.00128                  0.26901                  -10.138856623526785      
-0.00106                 0.00126                  0.26902                  -10.138561863147455      
-0.0011                  0.00124                  0.26903                  -10.13835162332996       
-0.00113                 0.00122                  0.26904                  -10.138223182412332      
-0.00115                 0.0012                   0.26905                  -10.138088082523907      
-0.00117                 0.00113                  0.26906                  -10.137536634575373      
-0.00118                 0.00105                  0.26908                  -10.136903036817724      
-0.00119                 9.5E-4                   0.26909                  -10.136092138168568      
-0.0012                  8.3E-4                   0.2691                   -10.135143239314255      
-0.0012                  7.0E-4                   0.2691                   -10.13415794329194       
