% x                      y                        z                        (V)[1/(V)]               
-9.1E-4                  0.00128                  0.28                     -10.149731821614651      
-0.0010                  9.9E-4                   0.28001                  -10.147731015081318      
-0.00113                 7.1E-4                   0.28002                  -10.146539361221357      
-0.00127                 4.5E-4                   0.28003                  -10.145433034480765      
-0.00143                 2.2E-4                   0.28004                  -10.144392531591897      
-0.0016                  0.0                      0.28005                  -10.143374621029555      
-0.00173                 -1.4E-4                  0.28006                  -10.142640317761416      
-0.00188                 -2.7E-4                  0.28007                  -10.141969588843168      
-0.00204                 -3.9E-4                  0.28008                  -10.141375390692232      
-0.00222                 -5.0E-4                  0.28009                  -10.140820264616766      
-0.0024                  -6.0E-4                  0.2801                   -10.140310299654027      
