% x                      y                        z                        (V)[1/(V)]               
-1.6E-4                  0.0023                   0.286                    0.113383229810395        
-1.6E-4                  0.0023                   0.284                    0.1264312709940186       
-1.6E-4                  0.0023                   0.282                    0.14189641575740042      
-1.7E-4                  0.0023                   0.28                     0.15984754639060808      
-1.8E-4                  0.0023                   0.278                    0.17908042973324806      
-1.8E-4                  0.00231                  0.276                    0.1954603620240267       
-1.9E-4                  0.00231                  0.274                    0.19878292918491483      
-2.1E-4                  0.00231                  0.272                    0.1856173501118901       
-2.2E-4                  0.00232                  0.27                     0.1587628810424907       
-2.3E-4                  0.00232                  0.268                    0.1246414754745421       
-2.5E-4                  0.00233                  0.266                    0.09104355059887939      
-2.7E-4                  0.00233                  0.264                    0.05946512889583123      
-2.9E-4                  0.00234                  0.262                    0.0296648181068147       
-3.1E-4                  0.00235                  0.26                     5.617777704186444E-4     
-3.3E-4                  0.00235                  0.258                    -0.028724475920168226    
-3.5E-4                  0.00236                  0.256                    -0.05928597215257718     
-3.8E-4                  0.00237                  0.254                    -0.09182906023134287     
-4.0E-4                  0.00237                  0.252                    -0.1266744928332911      
-4.3E-4                  0.00238                  0.25                     -0.16178464589671107     
-4.6E-4                  0.00239                  0.248                    -0.19016630996250605     
-4.9E-4                  0.0024                   0.246                    -0.20371502520291018     
-5.2E-4                  0.00241                  0.244                    -0.19716152691608443     
-5.7E-4                  0.00242                  0.242                    -0.1780066169439231      
-6.3E-4                  0.00244                  0.24                     -0.15697054553147125     
-7.1E-4                  0.00246                  0.23801                  -0.13769299484203684     
-7.8E-4                  0.00248                  0.23601                  -0.12186729857706065     
-8.5E-4                  0.00249                  0.23401                  -0.10890311168622577     
-9.0E-4                  0.0025                   0.23201                  -0.09838198890518404     
-9.4E-4                  0.0025                   0.23001                  -0.0895871109033798      
-9.7E-4                  0.0025                   0.22801                  -0.08207146983641125     
-0.0010                  0.0025                   0.22601                  -0.07552240937610107     
