% x                      y                        z                        (V)[1/(V)]               
-2.7E-4                  0.00233                  0.264                    -10.147927864082837      
-5.7E-4                  0.00228                  0.26401                  -10.146601720791322      
-8.3E-4                  0.00219                  0.26402                  -10.144578145122285      
-0.00105                 0.00208                  0.26403                  -10.14246270145059       
-0.00121                 0.00195                  0.26404                  -10.140246886890624      
-0.0013                  0.0018                   0.26405                  -10.138272648136555      
-0.00133                 0.00168                  0.26406                  -10.137103724276319      
-0.00136                 0.00154                  0.26407                  -10.135743697102582      
-0.00138                 0.00137                  0.26408                  -10.13408780850137       
-0.00139                 0.00119                  0.26409                  -10.132346076915955      
-0.0014                  0.0010                   0.2641                   -10.130536823798682      
