% x                      y                        z                        (V)[1/(V)]               
-2.1E-4                  0.00232                  0.271                    -10.153822514163359      
-3.6E-4                  0.00173                  0.271                    -10.146630320688237      
-5.8E-4                  0.00121                  0.27101                  -10.140961348834496      
-8.5E-4                  7.5E-4                   0.27102                  -10.136673027298318      
-0.00116                 3.5E-4                   0.27103                  -10.134583992364966      
-0.0015                  0.0                      0.27105                  -10.132074945736932      
-0.00165                 -1.2E-4                  0.27106                  -10.131184552825742      
-0.00182                 -2.3E-4                  0.27107                  -10.130354808469713      
-0.0020                  -3.3E-4                  0.27108                  -10.12958965809643       
-0.0022                  -4.2E-4                  0.27109                  -10.128876901988141      
-0.0024                  -5.0E-4                  0.2711                   -10.128122577643184      
