% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.286                    -10.14774575462541       
-8.0E-5                  8.0E-4                   0.284                    -10.1480840494402        
-8.0E-5                  8.0E-4                   0.282                    -10.147718518087352      
-8.0E-5                  8.0E-4                   0.28                     -10.14672488596265       
-8.0E-5                  8.0E-4                   0.278                    -10.145222185153688      
-8.0E-5                  8.0E-4                   0.276                    -10.143299509489243      
-8.0E-5                  8.0E-4                   0.274                    -10.141073799406247      
-8.0E-5                  8.0E-4                   0.272                    -10.138587075026837      
-8.0E-5                  8.0E-4                   0.27                     -10.135979610436294      
-8.0E-5                  8.0E-4                   0.268                    -10.133343504713226      
-8.0E-5                  8.0E-4                   0.266                    -10.130728817439833      
-8.0E-5                  8.0E-4                   0.264                    -10.128014334960099      
-8.0E-5                  8.0E-4                   0.262                    -10.125078618398218      
-8.0E-5                  8.0E-4                   0.26                     -10.121635451436314      
-9.0E-5                  8.0E-4                   0.258                    -10.117442038567857      
-9.0E-5                  8.0E-4                   0.256                    -10.112325488273985      
-9.0E-5                  8.0E-4                   0.254                    -10.106224725857267      
-9.0E-5                  8.0E-4                   0.252                    -10.099243131533292      
-9.0E-5                  8.0E-4                   0.25                     -10.091534972933157      
-9.0E-5                  8.0E-4                   0.248                    -10.083266194965205      
-9.0E-5                  8.0E-4                   0.246                    -10.074600383680735      
-9.0E-5                  8.0E-4                   0.244                    -10.065686494229801      
-9.0E-5                  8.0E-4                   0.242                    -10.056627119058769      
-9.0E-5                  8.0E-4                   0.24                     -10.047554542607994      
-1.0E-4                  8.0E-4                   0.238                    -10.038546555621965      
-1.0E-4                  8.0E-4                   0.236                    -10.029630278201466      
-1.0E-4                  8.0E-4                   0.234                    -10.020798406128877      
-1.0E-4                  8.0E-4                   0.232                    -10.011865750061315      
-1.0E-4                  8.0E-4                   0.23                     -10.002536374506175      
-1.1E-4                  8.0E-4                   0.228                    -9.992594863488286       
-1.1E-4                  8.0E-4                   0.226                    -9.9818669381487         
