% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.286                    0.10798146197492065      
-8.0E-5                  8.0E-4                   0.284                    0.11734077097285232      
-8.0E-5                  8.0E-4                   0.282                    0.12692592967214844      
-8.0E-5                  8.0E-4                   0.28                     0.13597481063906539      
-8.0E-5                  8.0E-4                   0.278                    0.1431480675731765       
-8.0E-5                  8.0E-4                   0.276                    0.14650571009983174      
-8.0E-5                  8.0E-4                   0.274                    0.14387704140045598      
-8.0E-5                  8.0E-4                   0.272                    0.13422756263010105      
-8.0E-5                  8.0E-4                   0.27                     0.11802470930835782      
-8.0E-5                  8.0E-4                   0.268                    0.09720880698948622      
-8.0E-5                  8.0E-4                   0.266                    0.07386243180301107      
-8.0E-5                  8.0E-4                   0.264                    0.049540451357638154     
-8.0E-5                  8.0E-4                   0.262                    0.024841627409126522     
-8.0E-5                  8.0E-4                   0.26                     3.8000777594572772E-6    
-9.0E-5                  8.0E-4                   0.258                    -0.02492393814554447     
-9.0E-5                  8.0E-4                   0.256                    -0.049831060120138264    
-9.0E-5                  8.0E-4                   0.254                    -0.07445966931283904     
-9.0E-5                  8.0E-4                   0.252                    -0.0979351692483584      
-9.0E-5                  8.0E-4                   0.25                     -0.11849401806867098     
-9.0E-5                  8.0E-4                   0.248                    -0.1341159504574721      
-9.0E-5                  8.0E-4                   0.246                    -0.14285952676271832     
-9.0E-5                  8.0E-4                   0.244                    -0.14427900615691766     
-9.0E-5                  8.0E-4                   0.242                    -0.13978591977283153     
-9.0E-5                  8.0E-4                   0.24                     -0.1316910033826232      
-1.0E-4                  8.0E-4                   0.238                    -0.12209155727129843     
-1.0E-4                  8.0E-4                   0.236                    -0.11244972365731934     
-1.0E-4                  8.0E-4                   0.234                    -0.10341244144450489     
-1.0E-4                  8.0E-4                   0.232                    -0.09520938542056392     
-1.0E-4                  8.0E-4                   0.23                     -0.08784039792395253     
-1.1E-4                  8.0E-4                   0.228                    -0.08119522413960169     
-1.1E-4                  8.0E-4                   0.226                    -0.07514856444048411     
