% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.286                    -10.14774575462541       
-8.0E-5                  8.0E-4                   0.284                    -10.1480840494402        
-8.0E-5                  8.0E-4                   0.282                    -10.147718518087352      
-8.0E-5                  8.0E-4                   0.28                     -10.14672488596265       
-8.0E-5                  8.0E-4                   0.278                    -10.145222185153688      
-8.0E-5                  8.0E-4                   0.276                    -10.143299509489243      
-8.0E-5                  8.0E-4                   0.274                    -10.141073799406247      
-8.0E-5                  8.0E-4                   0.272                    -10.138587075026837      
-8.0E-5                  8.0E-4                   0.27                     -10.135979610436294      
-8.0E-5                  8.0E-4                   0.268                    -10.133343504713226      
-8.0E-5                  8.0E-4                   0.266                    -10.130728817439833      
-8.0E-5                  8.0E-4                   0.264                    -10.128014334960099      
-8.0E-5                  8.0E-4                   0.262                    -10.125078618398218      
-8.0E-5                  8.0E-4                   0.26                     -10.121635451436314      
