% x                      y                        z                        (V)[1/(V)]               
-1.0E-4                  8.0E-4                   0.232                    -0.09520938542056392     
-1.5E-4                  9.4E-4                   0.23191                  -0.09522370086400808     
-3.0E-4                  0.00129                  0.23185                  -0.09581285881819966     
-5.1E-4                  0.00174                  0.2318                   -0.09648580942932684     
-7.5E-4                  0.00218                  0.23176                  -0.09689996316960203     
-0.0010                  0.0025                   0.2317                   -0.09682391294170933     
-0.00117                 0.00263                  0.23167                  -0.09662260211867417     
-0.00138                 0.00275                  0.23163                  -0.09630273020204622     
-0.00161                 0.00285                  0.2316                   -0.09602073219933815     
-0.00182                 0.00294                  0.23155                  -0.09563432693730772     
-0.0020                  0.0030                   0.2315                   -0.09522577632094123     
-0.0023                  0.00309                  0.23128                  -0.0938370104581055      
-0.00258                 0.00318                  0.23091                  -0.09179891444714386     
-0.00283                 0.00324                  0.23045                  -0.08972208143100337     
-0.00303                 0.00328                  0.22996                  -0.08766683361989537     
-0.00315                 0.0033                   0.2295                   -0.08586308037770417     
-0.00392                 0.0032                   0.2247                   -0.07041213946254789     
-0.00448                 0.00294                  0.21964                  -0.05742623219623648     
-0.00485                 0.0026                   0.21443                  -0.046471628381479696    
-0.0051                  0.00227                  0.20918                  -0.0376952928283831      
-0.00525                 0.0020                   0.204                    -0.031164942240891086    
-0.00548                 0.00157                  0.19202                  -0.02246432791759576     
-0.00562                 0.0012                   0.18002                  -0.016080805519769252    
-0.00572                 8.6E-4                   0.16801                  -0.012068691012028192    
-0.00584                 5.2E-4                   0.156                    -0.009141012976574516    
-0.0060                  1.5E-4                   0.144                    -0.0070244622506426555   
-0.00622                 -2.3E-4                  0.13199                  -0.0055885527537956475   
-0.00649                 -6.0E-4                  0.11998                  -0.004403630348905514    
-0.00681                 -9.9E-4                  0.10798                  -0.003571753755716977    
-0.00721                 -0.00144                 0.09598                  -0.002873802205039779    
-0.0077                  -0.0020                  0.084                    -0.002306457889820935    
-0.00778                 -0.0021                  0.08229                  -0.0022411388684063557   
-0.00788                 -0.00222                 0.08057                  -0.002177376850871633    
-0.00799                 -0.00235                 0.07886                  -0.0021144023571264526   
-0.00813                 -0.00248                 0.07717                  -0.0020518804663170786   
-0.0083                  -0.0026                  0.0755                   -0.001989773408763028    
-0.00886                 -0.00277                 0.07236                  -0.0018677131024786174   
-0.00981                 -0.0029                  0.06911                  -0.001635976741836728    
-0.01104                 -0.00304                 0.06599                  -0.0014326691164080702   
-0.01247                 -0.00323                 0.0632                   -0.0013367214625513769   
-0.014                   -0.0035                  0.061                    -0.00124849001226599     
-0.01555                 -0.00407                 0.05943                  -0.001186673807151757    
-0.01743                 -0.00511                 0.05799                  -0.0011305449682455606   
-0.01958                 -0.00653                 0.05674                  -0.001078395920726787    
-0.02195                 -0.0082                  0.05573                  -0.0010287562018100038   
-0.0245                  -0.01                    0.055                    -9.804292799918562E-4    
