% x                      y                        z                        (V)[1/(V)]               
-1.0E-4                  8.0E-4                   0.232                    -10.017979056714292      
-1.5E-4                  9.4E-4                   0.23191                  -10.01861644568889       
-3.0E-4                  0.00129                  0.23185                  -10.021275696579055      
-5.1E-4                  0.00174                  0.2318                   -10.025197491527944      
-7.5E-4                  0.00218                  0.23176                  -10.029476278777404      
-0.0010                  0.0025                   0.2317                   -10.032455523203158      
-0.00117                 0.00263                  0.23167                  -10.033411674428752      
-0.00138                 0.00275                  0.23163                  -10.034429185522047      
-0.00161                 0.00285                  0.2316                   -10.035411224908923      
-0.00182                 0.00294                  0.23155                  -10.036375038064538      
-0.0020                  0.0030                   0.2315                   -10.03703207833377       
-0.0023                  0.00309                  0.23128                  -10.037569440126127      
-0.00258                 0.00318                  0.23091                  -10.036727737335765      
-0.00283                 0.00324                  0.23045                  -10.033092455231042      
-0.00303                 0.00328                  0.22996                  -10.029354380697004      
-0.00315                 0.0033                   0.2295                   -10.02602601748321       
-0.00392                 0.0032                   0.2247                   -9.987961017761208       
-0.00448                 0.00294                  0.21964                  -9.943985486927833       
-0.00485                 0.0026                   0.21443                  -9.900958715381059       
-0.0051                  0.00227                  0.20918                  -9.857499350777497       
-0.00525                 0.0020                   0.204                    -9.815761026306802       
-0.00548                 0.00157                  0.19202                  -9.736677687610586       
-0.00562                 0.0012                   0.18002                  -9.653993389434655       
-0.00572                 8.6E-4                   0.16801                  -9.581777355985686       
-0.00584                 5.2E-4                   0.156                    -9.509631085145681       
-0.0060                  1.5E-4                   0.144                    -9.444209155194077       
-0.00622                 -2.3E-4                  0.13199                  -9.390213947192573       
-0.00649                 -6.0E-4                  0.11998                  -9.337040963441758       
-0.00681                 -9.9E-4                  0.10798                  -9.29674878854437        
-0.00721                 -0.00144                 0.09598                  -9.259816108969268       
-0.0077                  -0.0020                  0.084                    -9.227447347508996       
-0.00778                 -0.0021                  0.08229                  -9.22428262876742        
-0.00788                 -0.00222                 0.08057                  -9.221317579615649       
-0.00799                 -0.00235                 0.07886                  -9.218381960516918       
-0.00813                 -0.00248                 0.07717                  -9.215465099855198       
-0.0083                  -0.0026                  0.0755                   -9.212461089714589       
-0.00886                 -0.00277                 0.07236                  -9.206243091042747       
-0.00981                 -0.0029                  0.06911                  -9.192158902843694       
-0.01104                 -0.00304                 0.06599                  -9.17783707566973        
-0.01247                 -0.00323                 0.0632                   -9.16932541299726        
-0.014                   -0.0035                  0.061                    -9.158546908554541       
-0.01555                 -0.00407                 0.05943                  -9.151066569879317       
-0.01743                 -0.00511                 0.05799                  -9.143940249655108       
-0.01958                 -0.00653                 0.05674                  -9.137197220325639       
-0.02195                 -0.0082                  0.05573                  -9.130902431520921       
-0.0245                  -0.01                    0.055                    -9.124488857736477       
