% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.264                    -10.128014334960099      
-3.2E-4                  7.8E-4                   0.264                    -10.127849633107106      
-5.4E-4                  7.4E-4                   0.26401                  -10.127315088418845      
-7.4E-4                  6.7E-4                   0.26402                  -10.126601150119857      
-9.3E-4                  5.9E-4                   0.26403                  -10.126377026228427      
-0.0011                  5.0E-4                   0.26405                  -10.125914536441394      
-0.00114                 4.7E-4                   0.26406                  -10.125718160398899      
-0.00119                 4.3E-4                   0.26407                  -10.125445700361078      
-0.00122                 3.9E-4                   0.26408                  -10.125165834348435      
-0.00126                 3.5E-4                   0.26409                  -10.12488491173047       
-0.0013                  3.0E-4                   0.2641                   -10.124527723432276      
