% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.274                    -10.141073799406247      
-4.0E-4                  7.8E-4                   0.274                    -10.140966416519477      
-6.7E-4                  7.2E-4                   0.27401                  -10.140260942323417      
-9.0E-4                  6.3E-4                   0.27402                  -10.140001417795267      
-0.00107                 5.2E-4                   0.27403                  -10.139619749329405      
-0.0012                  4.0E-4                   0.27405                  -10.139103938673243      
-0.00123                 3.6E-4                   0.27406                  -10.138910005301875      
-0.00125                 3.0E-4                   0.27407                  -10.13859975162298       
-0.00127                 2.4E-4                   0.27408                  -10.13828926267579       
-0.00129                 1.7E-4                   0.27409                  -10.137925113663725      
-0.0013                  1.0E-4                   0.2741                   -10.137553181758907      
