% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.264                    -10.128014334960099      
-3.4E-4                  6.2E-4                   0.26401                  -10.126204649541481      
-5.9E-4                  4.5E-4                   0.26402                  -10.12503600061698       
-8.6E-4                  2.9E-4                   0.26403                  -10.12435661039063       
-0.00113                 1.4E-4                   0.26404                  -10.12328873726943       
-0.0014                  0.0                      0.26405                  -10.121978772588667      
-0.00159                 -9.0E-5                  0.26406                  -10.121110126182659      
-0.00179                 -1.8E-4                  0.26407                  -10.120214212075314      
-0.00199                 -2.6E-4                  0.26408                  -10.119373741553137      
-0.00219                 -3.3E-4                  0.26409                  -10.118586079719234      
-0.0024                  -4.0E-4                  0.2641                   -10.117761002835966      
