% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.277                    -10.14431393149278       
-3.2E-4                  5.8E-4                   0.27701                  -10.14289354545021       
-5.8E-4                  3.7E-4                   0.27702                  -10.142185310346392      
-8.5E-4                  1.9E-4                   0.27703                  -10.141717208142072      
-0.00112                 3.0E-5                   0.27704                  -10.140988121490457      
-0.0014                  -1.0E-4                  0.27705                  -10.14030189666112       
-0.00159                 -1.8E-4                  0.27706                  -10.139833796309167      
-0.00178                 -2.4E-4                  0.27707                  -10.139447381864509      
-0.00199                 -3.0E-4                  0.27708                  -10.139033278382273      
-0.00219                 -3.6E-4                  0.27709                  -10.138612492774804      
-0.0024                  -4.0E-4                  0.2771                   -10.138252445201074      
