% x                      y                        z                        (V)[1/(V)]               
-1.6E-4                  0.00345                  0.261                    -10.17183387610978       
-2.6333332E-4            0.0032458333             0.261                    -10.168000015319407      
-3.6666667E-4            0.0030416667             0.261                    -10.16432600708544       
-4.7E-4                  0.0028375                0.261                    -10.160829988984077      
-5.7333335E-4            0.0026333332             0.261                    -10.157496806565346      
-6.766667E-4             0.0024291668             0.261                    -10.154320975952013      
-7.8E-4                  0.002225                 0.261                    -10.151298351087176      
-8.833333E-4             0.0020208333             0.261                    -10.148432437270522      
-9.866667E-4             0.0018166667             0.261                    -10.14575356969835       
-0.00109                 0.0016125                0.261                    -10.143440978813283      
-0.0011933333            0.0014083333             0.261                    -10.141461012055169      
-0.0012966667            0.0012041667             0.261                    -10.13987984821656       
-0.0014                  0.0010                   0.261                    -10.138348974933         
