% x                      y                        z                        (V)[1/(V)]               
-0.0010                  0.00245                  0.286                    -10.143658310227934      
-0.0010                  0.00245                  0.284                    -10.146647877550164      
-0.00101                 0.00245                  0.282                    -10.148628113382111      
-0.00102                 0.00246                  0.28                     -10.150605360250324      
-0.00104                 0.00246                  0.278                    -10.152265878214902      
-0.00106                 0.00246                  0.276                    -10.153971457171394      
-0.00109                 0.00247                  0.274                    -10.15572869572767       
-0.00112                 0.00247                  0.272                    -10.157099620768971      
-0.00115                 0.00248                  0.27                     -10.158232361400811      
-0.00122                 0.00249                  0.268                    -10.15834336287235       
-0.0013                  0.0025                   0.266                    -10.157858716833658      
-0.00136                 0.0025                   0.264                    -10.15650863985929       
-0.00141                 0.0025                   0.26201                  -10.154200537535468      
-0.00145                 0.0025                   0.26001                  -10.150819433076098      
