% x                      y                        z                        (V)[1/(V)]               
-0.00141                 0.0025                   0.26201                  -10.1435025020613        
-0.00144                 0.0024                   0.26201                  -10.141884887638833      
-0.00146                 0.0023                   0.26201                  -10.14056707367078       
-0.00148                 0.0022                   0.26201                  -10.139392050877687      
-0.0015                  0.0021                   0.26201                  -10.1382622635048        
-0.0015                  0.0020                   0.26201                  -10.137184894034279      
-0.0015                  0.0019                   0.26201                  -10.136138370904732      
-0.0015                  0.0018                   0.26201                  -10.135183807594117      
-0.0015                  0.0017                   0.26201                  -10.134284059989387      
-0.00149                 0.0016                   0.26201                  -10.133356317336993      
-0.00148                 0.0015                   0.26201                  -10.13240249811592       
