% x                      y                        z                        (V)[1/(V)]               
-0.00113                 0.00248                  0.271                    -10.154144303751066      
-0.00116                 0.00228                  0.271                    -10.151158045328128      
-0.00119                 0.00208                  0.271                    -10.148888186925634      
-0.00122                 0.00189                  0.271                    -10.1468009749931        
-0.00126                 0.00169                  0.271                    -10.144742084674194      
-0.0013                  0.0015                   0.271                    -10.143170930929626      
-0.00135                 0.0013                   0.271                    -10.14160322164791       
-0.0014                  0.0011                   0.271                    -10.140012759262323      
-0.00146                 9.0E-4                   0.271                    -10.138448162732496      
-0.00153                 7.0E-4                   0.271                    -10.136940174301124      
-0.0016                  5.0E-4                   0.271                    -10.135545292414912      
