% x                      y                        z                        (V)[1/(V)]               
-0.00141                 0.0025                   0.26201                  -10.1435025020613        
-0.00144                 0.0024                   0.26201                  -10.141884887638833      
-0.00146                 0.0023                   0.26202                  -10.140584974597836      
-0.00148                 0.0022                   0.26203                  -10.139427691771825      
-0.0015                  0.0021                   0.26204                  -10.138315483406048      
-0.0015                  0.0020                   0.26205                  -10.137255415184763      
-0.0015                  0.0019                   0.26206                  -10.136225973945521      
-0.0015                  0.0018                   0.26207                  -10.135241614430912      
-0.0015                  0.0017                   0.26208                  -10.134355666916095      
-0.00149                 0.0016                   0.26209                  -10.13344247690851       
-0.00148                 0.0015                   0.2621                   -10.132516817381903      
