% x                      y                        z                        (V)[1/(V)]               
-0.00109                 0.00247                  0.274                    -10.155262059314772      
-0.00119                 0.00227                  0.274                    -10.152747305211037      
-0.00125                 0.00207                  0.27401                  -10.15072517301357       
-0.00128                 0.00188                  0.27402                  -10.148942300299996      
-0.0013                  0.00169                  0.27403                  -10.147507319754451      
-0.0013                  0.0015                   0.27405                  -10.146145234637656      
-0.00129                 0.00144                  0.27406                  -10.145715556855201      
-0.00128                 0.00138                  0.27407                  -10.145289624362082      
-0.00126                 0.00132                  0.27408                  -10.144856282090508      
-0.00123                 0.00126                  0.27409                  -10.14441431798824       
-0.0012                  0.0012                   0.2741                   -10.143974483105627      
