% x                      y                        z                        (V)[1/(V)]               
-0.00141                 0.0025                   0.26201                  -10.1435025020613        
-0.00142                 0.00206                  0.26201                  -10.137879386910228      
-0.00144                 0.00164                  0.26202                  -10.133663967148488      
-0.00148                 0.00124                  0.26203                  -10.129926802165821      
-0.00154                 8.6E-4                   0.26204                  -10.126421156950036      
-0.0016                  5.0E-4                   0.26205                  -10.123356066234885      
-0.00167                 3.0E-4                   0.26206                  -10.121708110104805      
-0.00179                 1.0E-4                   0.26207                  -10.120059267463827      
-0.00194                 -9.0E-5                  0.26208                  -10.11850391275194       
-0.00212                 -2.7E-4                  0.26209                  -10.116910382734131      
-0.0023                  -4.5E-4                  0.2621                   -10.115316277211239      
