% x                      y                        z                        (V)[1/(V)]               
-0.00118                 0.00248                  0.269                    -10.152784638867578      
-0.0012                  0.0020                   0.269                    -10.146238426416584      
-0.00126                 0.00154                  0.26901                  -10.141214177601208      
-0.00135                 0.0011                   0.26902                  -10.137517100760473      
-0.00147                 6.9E-4                   0.26904                  -10.134180602355423      
-0.0016                  3.0E-4                   0.26905                  -10.131153124975503      
-0.00168                 1.4E-4                   0.26906                  -10.129833520403533      
-0.00178                 -2.0E-5                  0.26907                  -10.128596134900251      
-0.00191                 -1.7E-4                  0.26908                  -10.127432404454964      
-0.00205                 -3.1E-4                  0.26909                  -10.126317400481973      
-0.0022                  -4.5E-4                  0.2691                   -10.125200463280132      
