% x                      y                        z                        (V)[1/(V)]               
-9.0E-4                  0.00128                  0.286                    0.10920452541156388      
-9.0E-4                  0.00128                  0.284                    0.11946297224937         
-9.0E-4                  0.00128                  0.282                    0.13039786178000562      
-9.1E-4                  0.00128                  0.28                     0.14136483261580182      
-9.1E-4                  0.00128                  0.278                    0.15107935559941407      
-9.2E-4                  0.00128                  0.276                    0.1568085212025706       
-9.3E-4                  0.00129                  0.274                    0.1557047636021088       
-9.4E-4                  0.00129                  0.272                    0.14525365875351065      
-9.5E-4                  0.00129                  0.27                     0.12679686008366298      
-9.8E-4                  0.0013                   0.268                    0.10336409308286909      
-0.0010                  0.0013                   0.266                    0.07784393172937823      
-0.0010                  0.0013                   0.264                    0.05188092542437732      
-0.0010                  0.0013                   0.262                    0.02598843053105725      
-0.0010                  0.0013                   0.26                     1.6334713306627967E-4    
