% x                      y                        z                        (V)[1/(V)]               
-0.0010                  0.0013                   0.262                    -10.13000582889602       
-0.00105                 0.00126                  0.26201                  -10.129501161599352      
-0.0011                  0.00123                  0.26202                  -10.129201792244872      
-0.00114                 0.00119                  0.26203                  -10.128929603667194      
-0.00118                 0.00114                  0.26204                  -10.128558465477859      
-0.0012                  0.0011                   0.26205                  -10.128238213593288      
-0.00123                 0.00101                  0.26206                  -10.127466037171011      
-0.00126                 9.2E-4                   0.26207                  -10.126694697135733      
-0.00128                 8.2E-4                   0.26209                  -10.125855437483876      
-0.00129                 7.1E-4                   0.26209                  -10.124951963421147      
-0.0013                  6.0E-4                   0.2621                   -10.124110878057975      
