% x                      y                        z                        (V)[1/(V)]               
-9.4E-4                  0.00129                  0.271                    -10.141408084669616      
-0.00103                 0.00127                  0.27101                  -10.141092933644545      
-0.0011                  0.00125                  0.27102                  -10.140856414077096      
-0.00117                 0.00122                  0.27103                  -10.140733516498322      
-0.00122                 0.00119                  0.27104                  -10.140572243902108      
-0.00125                 0.00115                  0.27105                  -10.140296536433302      
-0.00127                 0.00106                  0.27106                  -10.139598605766633      
-0.00128                 9.6E-4                   0.27108                  -10.138826555496872      
-0.00129                 8.2E-4                   0.27109                  -10.137755947412717      
-0.0013                  6.7E-4                   0.27109                  -10.136715714853871      
-0.0013                  5.0E-4                   0.2711                   -10.135644390094992      
