% x                      y                        z                        (V)[1/(V)]               
-9.0E-4                  0.00128                  0.286                    -10.15137613189244       
-9.0E-4                  0.00128                  0.284                    -10.151454823163462      
-9.0E-4                  0.00128                  0.282                    -10.150871346434611      
-9.1E-4                  0.00128                  0.28                     -10.149731821614651      
-9.1E-4                  0.00128                  0.278                    -10.148267135877274      
-9.2E-4                  0.00128                  0.276                    -10.146538952490939      
-9.3E-4                  0.00129                  0.274                    -10.144601226015574      
-9.4E-4                  0.00129                  0.272                    -10.14248367984258       
-9.5E-4                  0.00129                  0.27                     -10.140247659971267      
-9.8E-4                  0.0013                   0.268                    -10.1379794319562        
-0.0010                  0.0013                   0.266                    -10.135483994293207      
-0.0010                  0.0013                   0.264                    -10.13298905274962       
-0.0010                  0.0013                   0.262                    -10.13000582889602       
-0.0010                  0.0013                   0.26                     -10.126382675600967      
