% x                      y                        z                        (V)[1/(V)]               
-0.0010                  0.0013                   0.264                    -10.13298905274962       
-0.00102                 9.8E-4                   0.26401                  -10.12954707877448       
-0.00108                 6.9E-4                   0.26402                  -10.127265070212633      
-0.00117                 4.2E-4                   0.26403                  -10.125316044798641      
-0.00128                 1.9E-4                   0.26404                  -10.12357907054781       
-0.0014                  0.0                      0.26405                  -10.121978772588667      
-0.00154                 -1.5E-4                  0.26406                  -10.120722878457347      
-0.00173                 -3.0E-4                  0.26407                  -10.119437046379536      
-0.00196                 -4.2E-4                  0.26408                  -10.118310967443067      
-0.00222                 -5.2E-4                  0.26409                  -10.11725915016187       
-0.0025                  -6.0E-4                  0.2641                   -10.116275350394002      
