% x                      y                        z                        (V)[1/(V)]               
-9.9E-4                  0.0013                   0.267                    -10.136828142218091      
-0.0011                  0.00101                  0.26701                  -10.133930999577231      
-0.00123                 7.4E-4                   0.26702                  -10.131706201814186      
-0.00137                 4.8E-4                   0.26703                  -10.129627343192315      
-0.00153                 2.4E-4                   0.26704                  -10.127719696400293      
-0.0017                  0.0                      0.26705                  -10.125798056644884      
-0.0018                  -1.3E-4                  0.26706                  -10.124750473297109      
-0.00192                 -2.5E-4                  0.26707                  -10.123747432153634      
-0.00204                 -3.7E-4                  0.26708                  -10.12272598229154       
-0.00217                 -4.9E-4                  0.26709                  -10.121671183865248      
-0.0023                  -6.0E-4                  0.2671                   -10.120667289259215      
