% x                      y                        z                        (V)[1/(V)]               
-1.6E-4                  0.0023                   0.286                    -10.162339864554722      
-1.6E-4                  0.0023                   0.284                    -10.16160886988934       
-1.6E-4                  0.0023                   0.282                    -10.160337464864808      
-1.7E-4                  0.0023                   0.28                     -10.158789524728093      
-1.8E-4                  0.0023                   0.278                    -10.157321752591953      
-1.8E-4                  0.00231                  0.276                    -10.156239835362062      
-1.9E-4                  0.00231                  0.274                    -10.15517374841529       
-2.1E-4                  0.00231                  0.272                    -10.154151749986319      
-2.2E-4                  0.00232                  0.27                     -10.153279749416221      
-2.3E-4                  0.00232                  0.268                    -10.151951268302147      
-2.5E-4                  0.00233                  0.266                    -10.150293734532077      
-2.7E-4                  0.00233                  0.264                    -10.147927864082837      
-2.9E-4                  0.00234                  0.262                    -10.145025626377715      
-3.1E-4                  0.00235                  0.26                     -10.14109784376658       
-3.3E-4                  0.00235                  0.258                    -10.13580953547391       
-3.5E-4                  0.00236                  0.256                    -10.12942025033104       
-3.8E-4                  0.00237                  0.254                    -10.121900732717755      
-4.0E-4                  0.00237                  0.252                    -10.113352179594193      
-4.3E-4                  0.00238                  0.25                     -10.104704621454692      
-4.6E-4                  0.00239                  0.248                    -10.096003608294938      
-4.9E-4                  0.0024                   0.246                    -10.087745261540082      
-5.2E-4                  0.00241                  0.244                    -10.079839673755178      
-5.7E-4                  0.00242                  0.242                    -10.072021739310841      
-6.3E-4                  0.00244                  0.24                     -10.06443321337669       
-7.1E-4                  0.00246                  0.23801                  -10.056679978675279      
-7.8E-4                  0.00248                  0.23601                  -10.048616966692377      
-8.5E-4                  0.00249                  0.23401                  -10.039881738728582      
-9.0E-4                  0.0025                   0.23201                  -10.030644553872811      
-9.4E-4                  0.0025                   0.23001                  -10.02082300495114       
-9.7E-4                  0.0025                   0.22801                  -10.009578946403238      
-0.0010                  0.0025                   0.22601                  -9.997179583994365       
