% x                      y                        z                        (V)[1/(V)]               
-1.6E-4                  0.0023                   0.286                    -10.143127321470324      
-1.6E-4                  0.0023                   0.284                    -10.145951221882399      
-1.6E-4                  0.0023                   0.282                    -10.148212642330005      
-1.7E-4                  0.0023                   0.28                     -10.150049411629986      
-1.8E-4                  0.0023                   0.278                    -10.151829364619882      
-1.8E-4                  0.00231                  0.276                    -10.153620853121332      
-1.9E-4                  0.00231                  0.274                    -10.155236219168026      
-2.1E-4                  0.00231                  0.272                    -10.156658188691642      
-2.2E-4                  0.00232                  0.27                     -10.15780388393864       
-2.3E-4                  0.00232                  0.268                    -10.158130665136877      
-2.5E-4                  0.00233                  0.266                    -10.157936827111529      
-2.7E-4                  0.00233                  0.264                    -10.15677921484579       
-2.9E-4                  0.00234                  0.262                    -10.15488162746825       
-3.1E-4                  0.00235                  0.26                     -10.151799602134966      
-3.3E-4                  0.00235                  0.258                    -10.14725356702138       
-3.5E-4                  0.00236                  0.256                    -10.141447608846912      
-3.8E-4                  0.00237                  0.254                    -10.134284010516598      
-4.0E-4                  0.00237                  0.252                    -10.126131583461868      
-4.3E-4                  0.00238                  0.25                     -10.11749724078536       
-4.6E-4                  0.00239                  0.248                    -10.108855105234014      
-4.9E-4                  0.0024                   0.246                    -10.100237799621015      
-5.2E-4                  0.00241                  0.244                    -10.091650406924368      
-5.7E-4                  0.00242                  0.242                    -10.083066882250035      
-6.3E-4                  0.00244                  0.24                     -10.074319220970331      
-7.1E-4                  0.00246                  0.23801                  -10.065224074518737      
-7.8E-4                  0.00248                  0.23601                  -10.055697652411247      
-8.5E-4                  0.00249                  0.23401                  -10.04545527450818       
-9.0E-4                  0.0025                   0.23201                  -10.034431643200323      
-9.4E-4                  0.0025                   0.23001                  -10.022405434497163      
-9.7E-4                  0.0025                   0.22801                  -10.009214413409593      
-0.0010                  0.0025                   0.22601                  -9.995237308294936       
