% x                      y                        z                        (V)[1/(V)]               
-1.6E-4                  0.0023                   0.286                    -10.162339864554722      
-1.6E-4                  0.0023                   0.284                    -10.16160886988934       
-1.6E-4                  0.0023                   0.282                    -10.160337464864808      
-1.7E-4                  0.0023                   0.28                     -10.158789524728093      
-1.8E-4                  0.0023                   0.278                    -10.157321752591953      
-1.8E-4                  0.00231                  0.276                    -10.156239835362062      
-1.9E-4                  0.00231                  0.274                    -10.15517374841529       
-2.1E-4                  0.00231                  0.272                    -10.154151749986319      
-2.2E-4                  0.00232                  0.27                     -10.153279749416221      
-2.3E-4                  0.00232                  0.268                    -10.151951268302147      
-2.5E-4                  0.00233                  0.266                    -10.150293734532077      
-2.7E-4                  0.00233                  0.264                    -10.147927864082837      
-2.9E-4                  0.00234                  0.262                    -10.145025626377715      
-3.1E-4                  0.00235                  0.26                     -10.14109784376658       
