% x                      y                        z                        (V)[1/(V)]               
-9.0E-4                  0.0025                   0.232                    -10.034375817884415      
-0.0010                  0.00254                  0.23187                  -10.033901579348273      
-0.00122                 0.00265                  0.23178                  -10.034098498173845      
-0.0015                  0.00279                  0.2317                   -10.03524775067584       
-0.00178                 0.00291                  0.23161                  -10.036272839553908      
-0.0020                  0.0030                   0.2315                   -10.03703207833377       
-0.0023                  0.00309                  0.23121                  -10.037156674731047      
-0.00258                 0.00317                  0.23083                  -10.036214222722853      
-0.00283                 0.00324                  0.23039                  -10.032713985293404      
-0.00303                 0.00328                  0.22994                  -10.029228507139349      
-0.00315                 0.0033                   0.2295                   -10.02602601748321       
-0.00392                 0.0032                   0.2247                   -9.987961017761208       
-0.00448                 0.00294                  0.21964                  -9.943985486927833       
-0.00485                 0.0026                   0.21443                  -9.900958715381059       
-0.0051                  0.00227                  0.20918                  -9.857499350777497       
-0.00525                 0.0020                   0.204                    -9.815761026306802       
-0.00548                 0.00157                  0.19202                  -9.736677687610586       
-0.00562                 0.0012                   0.18002                  -9.653993389434655       
-0.00572                 8.6E-4                   0.16801                  -9.581777355985686       
-0.00584                 5.2E-4                   0.156                    -9.509631085145681       
-0.0060                  1.5E-4                   0.144                    -9.444209155194077       
-0.00622                 -2.3E-4                  0.13199                  -9.390213947192573       
-0.00649                 -6.0E-4                  0.11998                  -9.337040963441758       
-0.00681                 -9.9E-4                  0.10798                  -9.29674878854437        
-0.00721                 -0.00144                 0.09598                  -9.259816108969268       
-0.0077                  -0.0020                  0.084                    -9.227447347508996       
-0.00778                 -0.0021                  0.08229                  -9.22428262876742        
-0.00788                 -0.00222                 0.08057                  -9.221317579615649       
-0.00799                 -0.00235                 0.07886                  -9.218381960516918       
-0.00813                 -0.00248                 0.07717                  -9.215465099855198       
-0.0083                  -0.0026                  0.0755                   -9.212461089714589       
-0.00886                 -0.00277                 0.07236                  -9.206243091042747       
-0.00981                 -0.0029                  0.06911                  -9.192158902843694       
-0.01104                 -0.00304                 0.06599                  -9.17783707566973        
-0.01247                 -0.00323                 0.0632                   -9.16932541299726        
-0.014                   -0.0035                  0.061                    -9.158546908554541       
-0.01555                 -0.00407                 0.05943                  -9.151066569879317       
-0.01743                 -0.00511                 0.05799                  -9.143940249655108       
-0.01958                 -0.00653                 0.05674                  -9.137197220325639       
-0.02195                 -0.0082                  0.05573                  -9.130902431520921       
-0.0245                  -0.01                    0.055                    -9.124488857736477       
