% x                      y                        z                        (V)[1/(V)]               
-2.4E-4                  0.00233                  0.267                    -10.151234829115225      
-6.2E-4                  0.00231                  0.267                    -10.150280675568098      
-9.3E-4                  0.00227                  0.26701                  -10.148757199477963      
-0.00117                 0.0022                   0.26702                  -10.147029538947978      
-0.00135                 0.00211                  0.26703                  -10.14520845119611       
-0.00145                 0.0020                   0.26705                  -10.143921566040357      
-0.00146                 0.00196                  0.26706                  -10.143518953660804      
-0.00148                 0.00191                  0.26707                  -10.143013776340846      
-0.00149                 0.00184                  0.26708                  -10.142314181036282      
-0.0015                  0.00177                  0.26709                  -10.141626093272059      
-0.0015                  0.0017                   0.2671                   -10.14094746232597       
