% x                      y                        z                        (V)[1/(V)]               
-2.9E-4                  0.00234                  0.262                    -10.145025626377715      
-4.4E-4                  0.00175                  0.262                    -10.136204285581089      
-6.6E-4                  0.00122                  0.26201                  -10.129432094122901      
-9.4E-4                  7.6E-4                   0.26202                  -10.124795945273773      
-0.00126                 3.5E-4                   0.26203                  -10.12218469525106       
-0.0016                  0.0                      0.26205                  -10.119353796527966      
-0.00175                 -1.2E-4                  0.26206                  -10.118357828055007      
-0.00192                 -2.3E-4                  0.26207                  -10.117432912879995      
-0.0021                  -3.3E-4                  0.26208                  -10.116490128196682      
-0.0023                  -4.2E-4                  0.26209                  -10.115512966807918      
-0.0025                  -5.0E-4                  0.2621                   -10.114593455587242      
