% x                      y                        z                        (V)[1/(V)]               
-2.3E-4                  0.00232                  0.269                    -10.15265977370601       
-3.5E-4                  0.00174                  0.269                    -10.144966823916905      
-5.4E-4                  0.00121                  0.26901                  -10.138698874838358      
-7.9E-4                  7.5E-4                   0.26902                  -10.13389101521342       
-0.00108                 3.4E-4                   0.26903                  -10.131579784419898      
-0.0014                  0.0                      0.26905                  -10.129052616446925      
-0.00154                 -1.2E-4                  0.26906                  -10.128112281431804      
-0.00171                 -2.3E-4                  0.26907                  -10.127203640133924      
-0.0019                  -3.3E-4                  0.26908                  -10.126330752957763      
-0.0021                  -4.2E-4                  0.26909                  -10.12550095892703       
-0.0023                  -5.0E-4                  0.2691                   -10.124753495910706      
