% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.286                    -10.131014054550754      
-8.0E-5                  8.0E-4                   0.284                    -10.134679467565512      
-8.0E-5                  8.0E-4                   0.282                    -10.137573032488733      
-8.0E-5                  8.0E-4                   0.28                     -10.139807062221754      
-8.0E-5                  8.0E-4                   0.278                    -10.141391824152054      
-8.0E-5                  8.0E-4                   0.276                    -10.142410893168092      
-8.0E-5                  8.0E-4                   0.274                    -10.14291272428329       
-8.0E-5                  8.0E-4                   0.272                    -10.142887509551802      
-8.0E-5                  8.0E-4                   0.27                     -10.142508688417333      
-8.0E-5                  8.0E-4                   0.268                    -10.141798722430478      
-8.0E-5                  8.0E-4                   0.266                    -10.14069609406627       
-8.0E-5                  8.0E-4                   0.264                    -10.13924278697431       
-8.0E-5                  8.0E-4                   0.262                    -10.137267480401503      
-8.0E-5                  8.0E-4                   0.26                     -10.134595873230696      
-9.0E-5                  8.0E-4                   0.258                    -10.130978053455756      
-9.0E-5                  8.0E-4                   0.256                    -10.126224817920189      
-9.0E-5                  8.0E-4                   0.254                    -10.120406962683134      
-9.0E-5                  8.0E-4                   0.252                    -10.113580801327435      
-9.0E-5                  8.0E-4                   0.25                     -10.10588791587552       
-9.0E-5                  8.0E-4                   0.248                    -10.097524891030169      
-9.0E-5                  8.0E-4                   0.246                    -10.088622811880324      
-9.0E-5                  8.0E-4                   0.244                    -10.079263153175916      
-9.0E-5                  8.0E-4                   0.242                    -10.069574481329862      
-9.0E-5                  8.0E-4                   0.24                     -10.059611281651831      
-1.0E-4                  8.0E-4                   0.238                    -10.049478693740424      
-1.0E-4                  8.0E-4                   0.236                    -10.039233222716462      
-1.0E-4                  8.0E-4                   0.234                    -10.028740498451779      
-1.0E-4                  8.0E-4                   0.232                    -10.017979056714292      
-1.0E-4                  8.0E-4                   0.23                     -10.006653298393244      
-1.1E-4                  8.0E-4                   0.228                    -9.994591311730561       
-1.1E-4                  8.0E-4                   0.226                    -9.98169766177154        
