% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.262                    -10.125078618398218      
-3.2E-4                  7.6E-4                   0.262                    -10.124725841917186      
-5.4E-4                  7.0E-4                   0.26201                  -10.124060166015571      
-7.4E-4                  6.1E-4                   0.26202                  -10.123409657458815      
-9.2E-4                  5.1E-4                   0.26203                  -10.123038301218136      
-0.0011                  4.0E-4                   0.26205                  -10.122515586313684      
-0.00114                 3.7E-4                   0.26206                  -10.122346972700765      
-0.00118                 3.3E-4                   0.26207                  -10.122099632279756      
-0.00122                 2.9E-4                   0.26208                  -10.12183940163332       
-0.00126                 2.4E-4                   0.26209                  -10.121483936549195      
-0.0013                  2.0E-4                   0.2621                   -10.121160376481955      
