% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.267                    -10.132033081766952      
-4.1E-4                  7.9E-4                   0.267                    -10.131986180540263      
-6.9E-4                  7.7E-4                   0.26701                  -10.13146739167851       
-9.2E-4                  7.2E-4                   0.26702                  -10.13136349244864       
-0.00109                 6.7E-4                   0.26703                  -10.131072511695075      
-0.0012                  6.0E-4                   0.26705                  -10.130586653275234      
-0.00123                 5.6E-4                   0.26706                  -10.130290012881474      
-0.00125                 4.9E-4                   0.26707                  -10.12975201371652       
-0.00128                 4.0E-4                   0.26708                  -10.129063914164263      
-0.00129                 3.0E-4                   0.26709                  -10.128310456052851      
-0.0013                  2.0E-4                   0.2671                   -10.127574418655472      
