% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.262                    -10.125078618398218      
-3.5E-4                  6.8E-4                   0.26201                  -10.123947181981928      
-6.1E-4                  5.7E-4                   0.26202                  -10.122920340879059      
-8.8E-4                  4.5E-4                   0.26203                  -10.12263442921453       
-0.00114                 3.2E-4                   0.26204                  -10.121980194155851      
-0.0014                  2.0E-4                   0.26205                  -10.121029834522261      
-0.0016                  1.0E-4                   0.26206                  -10.120147776071237      
-0.0018                  0.0                      0.26207                  -10.119268557257046      
-0.0020                  -1.0E-4                  0.26208                  -10.118392178079684      
-0.0022                  -2.0E-4                  0.26209                  -10.117278994941644      
-0.0024                  -3.0E-4                  0.2621                   -10.116164575929245      
