% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.274                    -10.141073799406247      
-3.5E-4                  6.7E-4                   0.27401                  -10.140120844548983      
-6.1E-4                  5.3E-4                   0.27402                  -10.139211226134872      
-8.8E-4                  3.9E-4                   0.27403                  -10.138910229694897      
-0.00114                 2.5E-4                   0.27404                  -10.138315221663568      
-0.0014                  1.0E-4                   0.27405                  -10.137463582766864      
-0.0016                  -2.0E-5                  0.27406                  -10.136736479446139      
-0.0018                  -1.3E-4                  0.27407                  -10.136086707127834      
-0.0020                  -2.5E-4                  0.27408                  -10.135353953636864      
-0.0022                  -3.8E-4                  0.27409                  -10.134461333905902      
-0.0024                  -5.0E-4                  0.2741                   -10.13363004767048       
