% x                      y                        z                        (V)[1/(V)]               
-1.6E-4                  0.00345                  0.26975                  -10.17366128171831       
-2.6333332E-4            0.0032458333             0.26975                  -10.170435098431252      
-3.6666667E-4            0.0030416667             0.26975                  -10.167350825479343      
-4.7E-4                  0.0028375                0.26975                  -10.164387069077549      
-5.7333335E-4            0.0026333332             0.26975                  -10.16153049322276       
-6.766667E-4             0.0024291668             0.26975                  -10.158781047290663      
-7.8E-4                  0.002225                 0.26975                  -10.156138728785805      
-8.833333E-4             0.0020208333             0.26975                  -10.153603538990726      
-9.866667E-4             0.0018166667             0.26975                  -10.151262928306071      
-0.00109                 0.0016125                0.26975                  -10.149060048967737      
-0.0011933333            0.0014083333             0.26975                  -10.147229097589141      
-0.0012966667            0.0012041667             0.26975                  -10.14575906178594       
-0.0014                  0.0010                   0.26975                  -10.144384387852856      
