% x                      y                        z                        (V)[1/(V)]               
-1.6E-4                  0.00345                  0.286                    -10.156892101321947      
-1.6E-4                  0.00345                  0.2849997                -10.157758299035857      
-1.6E-4                  0.00345                  0.2839994                -10.15836379700959       
-1.6E-4                  0.00345                  0.28299916               -10.158754269151657      
-1.6E-4                  0.00345                  0.2819989                -10.159112128688426      
-1.6E-4                  0.00345                  0.28099868               -10.159494020483077      
-1.6E-4                  0.00345                  0.27999848               -10.16008953614859       
-1.6E-4                  0.00345                  0.2789983                -10.160840747859318      
-1.6E-4                  0.00345                  0.2784935                -10.161279042560668      
-1.6E-4                  0.00345                  0.27799812               -10.161776055868168      
-1.6E-4                  0.00345                  0.27699798               -10.16292124043114       
-1.6E-4                  0.00345                  0.27599785               -10.164257072721739      
-1.6E-4                  0.00345                  0.27499774               -10.165703108360002      
-1.6E-4                  0.00345                  0.27399766               -10.16729775061309       
-1.6E-4                  0.00345                  0.2729976                -10.168952782956076      
-1.6E-4                  0.00345                  0.2719975                -10.170550831193651      
-1.6E-4                  0.00345                  0.2709975                -10.172146312366205      
-1.6E-4                  0.00345                  0.26999745               -10.173383493849158      
-1.6E-4                  0.00345                  0.26899746               -10.174367058373676      
-1.6E-4                  0.00345                  0.26799747               -10.17500041542765       
-1.6E-4                  0.00345                  0.2669975                -10.175438184132556      
-1.6E-4                  0.00345                  0.26599753               -10.17557252581256       
-1.6E-4                  0.00345                  0.2649976                -10.175415931218806      
-1.6E-4                  0.00345                  0.26399767               -10.174975489205636      
-1.6E-4                  0.00345                  0.26299775               -10.174230187366856      
-1.6E-4                  0.00345                  0.26199785               -10.173223349048174      
-1.6E-4                  0.00345                  0.26099798               -10.171830688026969      
-1.6E-4                  0.00345                  0.2599981                -10.169995066826512      
-1.6E-4                  0.00345                  0.25899825               -10.167680931480845      
-1.6E-4                  0.00345                  0.2579984                -10.164939372636074      
-1.6E-4                  0.00345                  0.25699857               -10.161632848232806      
-1.6E-4                  0.00345                  0.25599876               -10.157748971666576      
-1.6E-4                  0.00345                  0.25499895               -10.153325912434635      
-1.6E-4                  0.00345                  0.25399914               -10.14851359622781       
-1.6E-4                  0.00345                  0.25299937               -10.143367602391614      
-1.6E-4                  0.00345                  0.25199962               -10.13803273379121       
-1.6E-4                  0.00345                  0.25099984               -10.132846774261965      
-1.6E-4                  0.00345                  0.2500001                -10.12776655315799       
-1.6E-4                  0.00345                  0.24900037               -10.1229252974138        
-1.6E-4                  0.00345                  0.24800064               -10.118341242604881      
-1.6E-4                  0.00345                  0.24700093               -10.113979239920033      
-1.6E-4                  0.00345                  0.24600123               -10.109836598969524      
-1.6E-4                  0.00345                  0.24500152               -10.105865250927256      
-1.6E-4                  0.00345                  0.24400188               -10.10207296537773       
-1.6E-4                  0.00345                  0.24300231               -10.098444612094298      
-1.6E-4                  0.00345                  0.24200282               -10.094815437995026      
-1.6E-4                  0.00345                  0.24100335               -10.091126786573433      
-1.6E-4                  0.00345                  0.24000391               -10.087251879511928      
-1.6E-4                  0.00345                  0.23900452               -10.08315687438063       
-1.6E-4                  0.00345                  0.23800512               -10.078881367379289      
-1.6E-4                  0.00345                  0.23700571               -10.074406386827494      
-1.6E-4                  0.00345                  0.23600627               -10.069712593242107      
-1.6E-4                  0.00345                  0.23500682               -10.06480414534265       
-1.6E-4                  0.00345                  0.2340073                -10.059706162478244      
-1.6E-4                  0.00345                  0.23300771               -10.054388048802647      
-1.6E-4                  0.00345                  0.23200807               -10.048795852700065      
-1.6E-4                  0.00345                  0.23100834               -10.04286520585471       
-1.6E-4                  0.00345                  0.23000854               -10.036647221069334      
-1.6E-4                  0.00345                  0.22900869               -10.030064797112647      
-1.6E-4                  0.00345                  0.2280088                -10.023092526288064      
-1.6E-4                  0.00345                  0.22700886               -10.01572874866563       
-1.6E-4                  0.00345                  0.2260089                -10.007886688427153      
